index,hex,RGB565,RGB888,red,green,blue
0,0x00,0x0000,0x000000,0,0,0
1,0x01,0x000A,0x000055,0,0,85
2,0x02,0x0015,0x0000AA,0,0,170
3,0x03,0x001F,0x0000FF,0,0,255
4,0x04,0x0120,0x002400,0,36,0
5,0x05,0x012A,0x002455,0,36,85
6,0x06,0x0135,0x0024AA,0,36,170
7,0x07,0x013F,0x0024FF,0,36,255
8,0x08,0x0240,0x004900,0,73,0
9,0x09,0x024A,0x004955,0,73,85
10,0x0A,0x0255,0x0049AA,0,73,170
11,0x0B,0x025F,0x0049FF,0,73,255
12,0x0C,0x0360,0x006D00,0,109,0
13,0x0D,0x036A,0x006D55,0,109,85
14,0x0E,0x0375,0x006DAA,0,109,170
15,0x0F,0x037F,0x006DFF,0,109,255
16,0x10,0x0480,0x009200,0,146,0
17,0x11,0x048A,0x009255,0,146,85
18,0x12,0x0495,0x0092AA,0,146,170
19,0x13,0x049F,0x0092FF,0,146,255
20,0x14,0x05A0,0x00B600,0,182,0
21,0x15,0x05AA,0x00B655,0,182,85
22,0x16,0x05B5,0x00B6AA,0,182,170
23,0x17,0x05BF,0x00B6FF,0,182,255
24,0x18,0x06C0,0x00DB00,0,219,0
25,0x19,0x06CA,0x00DB55,0,219,85
26,0x1A,0x06D5,0x00DBAA,0,219,170
27,0x1B,0x06DF,0x00DBFF,0,219,255
28,0x1C,0x07E0,0x00FF00,0,255,0
29,0x1D,0x07EA,0x00FF55,0,255,85
30,0x1E,0x07F5,0x00FFAA,0,255,170
31,0x1F,0x07FF,0x00FFFF,0,255,255
32,0x20,0x2000,0x240000,36,0,0
33,0x21,0x200A,0x240055,36,0,85
34,0x22,0x2015,0x2400AA,36,0,170
35,0x23,0x201F,0x2400FF,36,0,255
36,0x24,0x2120,0x242400,36,36,0
37,0x25,0x212A,0x242455,36,36,85
38,0x26,0x2135,0x2424AA,36,36,170
39,0x27,0x213F,0x2424FF,36,36,255
40,0x28,0x2240,0x244900,36,73,0
41,0x29,0x224A,0x244955,36,73,85
42,0x2A,0x2255,0x2449AA,36,73,170
43,0x2B,0x225F,0x2449FF,36,73,255
44,0x2C,0x2360,0x246D00,36,109,0
45,0x2D,0x236A,0x246D55,36,109,85
46,0x2E,0x2375,0x246DAA,36,109,170
47,0x2F,0x237F,0x246DFF,36,109,255
48,0x30,0x2480,0x249200,36,146,0
49,0x31,0x248A,0x249255,36,146,85
50,0x32,0x2495,0x2492AA,36,146,170
51,0x33,0x249F,0x2492FF,36,146,255
52,0x34,0x25A0,0x24B600,36,182,0
53,0x35,0x25AA,0x24B655,36,182,85
54,0x36,0x25B5,0x24B6AA,36,182,170
55,0x37,0x25BF,0x24B6FF,36,182,255
56,0x38,0x26C0,0x24DB00,36,219,0
57,0x39,0x26CA,0x24DB55,36,219,85
58,0x3A,0x26D5,0x24DBAA,36,219,170
59,0x3B,0x26DF,0x24DBFF,36,219,255
60,0x3C,0x27E0,0x24FF00,36,255,0
61,0x3D,0x27EA,0x24FF55,36,255,85
62,0x3E,0x27F5,0x24FFAA,36,255,170
63,0x3F,0x27FF,0x24FFFF,36,255,255
64,0x40,0x4800,0x490000,73,0,0
65,0x41,0x480A,0x490055,73,0,85
66,0x42,0x4815,0x4900AA,73,0,170
67,0x43,0x481F,0x4900FF,73,0,255
68,0x44,0x4920,0x492400,73,36,0
69,0x45,0x492A,0x492455,73,36,85
70,0x46,0x4935,0x4924AA,73,36,170
71,0x47,0x493F,0x4924FF,73,36,255
72,0x48,0x4A40,0x494900,73,73,0
73,0x49,0x4A4A,0x494955,73,73,85
74,0x4A,0x4A55,0x4949AA,73,73,170
75,0x4B,0x4A5F,0x4949FF,73,73,255
76,0x4C,0x4B60,0x496D00,73,109,0
77,0x4D,0x4B6A,0x496D55,73,109,85
78,0x4E,0x4B75,0x496DAA,73,109,170
79,0x4F,0x4B7F,0x496DFF,73,109,255
80,0x50,0x4C80,0x499200,73,146,0
81,0x51,0x4C8A,0x499255,73,146,85
82,0x52,0x4C95,0x4992AA,73,146,170
83,0x53,0x4C9F,0x4992FF,73,146,255
84,0x54,0x4DA0,0x49B600,73,182,0
85,0x55,0x4DAA,0x49B655,73,182,85
86,0x56,0x4DB5,0x49B6AA,73,182,170
87,0x57,0x4DBF,0x49B6FF,73,182,255
88,0x58,0x4EC0,0x49DB00,73,219,0
89,0x59,0x4ECA,0x49DB55,73,219,85
90,0x5A,0x4ED5,0x49DBAA,73,219,170
91,0x5B,0x4EDF,0x49DBFF,73,219,255
92,0x5C,0x4FE0,0x49FF00,73,255,0
93,0x5D,0x4FEA,0x49FF55,73,255,85
94,0x5E,0x4FF5,0x49FFAA,73,255,170
95,0x5F,0x4FFF,0x49FFFF,73,255,255
96,0x60,0x6800,0x6D0000,109,0,0
